id,userId,verb,contentId,assignmentId,attemptNumber,variant,object,context,result,timestamp,timestored,version,deviceName
387,cTYBjc9mvmn3JIaaMHDCa,experienced,c07d275fa9b1eafeebf5207ece38b1145a9af690f499027a84da20f08623c6b7,kXhVAtL0zDjJI7p3ZpUOq,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""/_document1"",""componentType"":""document""}",{},{},"2020-11-16 15:01:49","2020-11-16 09:01:49",0.1.0,Cedar
388,2CWpWnEp3XaLhGO3iUgG7,experienced,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""/_document1"",""componentType"":""document""}",{},{},"2020-11-16 15:02:33","2020-11-16 09:02:34",0.1.0,Breadfruit
389,2CWpWnEp3XaLhGO3iUgG7,experienced,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""/_document1"",""componentType"":""document""}",{},{},"2020-11-16 15:02:34","2020-11-16 09:02:34",0.1.0,Breadfruit
390,2CWpWnEp3XaLhGO3iUgG7,answered,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""__mathinput_gF9AQpcv2k"",""componentType"":""mathinput""}","{""answerAncestor"":""/pretest/_answer1""}","{""response"":{""objectType"":""math-expression"",""tree"":1},""responseText"":""1""}","2020-11-16 15:03:53","2020-11-16 09:03:53",0.1.0,Breadfruit
391,2CWpWnEp3XaLhGO3iUgG7,answered,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""__mathinput_km0_YdG4Sz"",""componentType"":""mathinput""}","{""answerAncestor"":""/pretest/_answer2""}","{""response"":{""objectType"":""math-expression"",""tree"":2},""responseText"":""2""}","2020-11-16 15:03:54","2020-11-16 09:03:54",0.1.0,Breadfruit
392,2CWpWnEp3XaLhGO3iUgG7,answered,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""/pretest/pre1x"",""componentType"":""mathinput""}",{},"{""response"":{""objectType"":""math-expression"",""tree"":3},""responseText"":""3""}","2020-11-16 15:03:55","2020-11-16 09:03:55",0.1.0,Breadfruit
393,2CWpWnEp3XaLhGO3iUgG7,answered,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""/pretest/pre1y"",""componentType"":""mathinput""}",{},"{""response"":{""objectType"":""math-expression"",""tree"":4},""responseText"":""4""}","2020-11-16 15:03:56","2020-11-16 09:03:56",0.1.0,Breadfruit
394,2CWpWnEp3XaLhGO3iUgG7,answered,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""/pretest/pre2x"",""componentType"":""mathinput""}",{},"{""response"":{""objectType"":""math-expression"",""tree"":5},""responseText"":""5""}","2020-11-16 15:03:57","2020-11-16 09:03:57",0.1.0,Breadfruit
395,2CWpWnEp3XaLhGO3iUgG7,answered,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""/pretest/pre2y"",""componentType"":""mathinput""}",{},"{""response"":{""objectType"":""math-expression"",""tree"":6},""responseText"":""6""}","2020-11-16 15:03:59","2020-11-16 09:03:59",0.1.0,Breadfruit
396,2CWpWnEp3XaLhGO3iUgG7,submitted,f93f7fc31e6950eb19208066aed25b00d208aa065f245b4ed50663de21ef412a,LF3_ONicEdcWgbuSqgxTa,1,"{""index"":0,""subvariants"":[]}","{""componentName"":""/pretest/_answer1"",""componentType"":""answer""}","{""itemCreditAchieved"":{""1"":0},""documentCreditAchieved"":0}","{""response"":[{""objectType"":""math-expression"",""tree"":1}],""responseText"":[""1""],""creditAchieved"":0}","2020-11-16 15:03:59","2020-11-16 09:04:00",0.1.0,Breadfruit
